Artist,Album,Release Date,# of Songs,Deluxe Version
Kendrick Lamar,Section.80,2011-07-02,15,N
J. Cole,KOD,2018-04-20,12,N
Busta Rhymes,The Big Bang,2005-12-13,15,N
Busta Rhymes,Extinction Level Event,1998-12-15,19,N
Kendrick Lamar,Mr. Morale,2022-05-13,19,N
Kanye West,Graduation,2007-09-11,14,N
J. Cole,The Off-Season,2021-05-14,12,N
Busta Rhymes,Anarchy,2000-06-20,22,N
Kanye West,College Dropout,2004-02-10,21,N
Busta Rhymes,Back On My B.S.,2009-05-19,17,Y
J. Cole,Cole World: Sideline Story,2011-09-27,18,N
Kanye West,Life of Pablo,2016-02-14,19,N
Busta Rhymes,The Coming,1996-03-26,13,N
Kanye West,Yeezus,2013-06-18,10,N
J. Cole,Born Sinner,2013-06-14,21,Y
J. Cole,2014 Forest Hills Drive,2014-12-09,13,Y
Busta Rhymes,Genesis,2001-11-27,21,N
Kanye West,MBDTF,2010-01-01,13,N
Kendrick Lamar,Black Panther Soundtrack,2018-02-09,14,N
Kanye West,Donda,2021-09-29,27,N
Kendrick Lamar,To Pimp A Butterfly,2015-03-15,16,N
Kanye West,Heartbreaks & 808s,2008-01-01,12,N
J. Cole,4 Your Eyez Only,2016-12-09,10,N
Kanye West,ye,2018-06-01,7,N
Kendrick Lamar,DAMN.,2017-04-17,14,N
Kendrick Lamar,good kid/ m.A.A.d city,2012-10-22,18,Y
Busta Rhymes,When Disaster Strikes,1997-09-16,18,N
Busta Rhymes,It Ain't Safe No More,2002-11-26,19,N
Kendrick Lamar,untitled unmastered,2016-03-04,8,N
G Herbo,Welcome to Fazoland,2014-02-17,18,Y
G Herbo,Ballin Like I'm Kobe,2015-09-29,16,N
Prince|The Revolution,Purple Rain,1984-06-25,9,N
Prince|The NPG,Diamonds & Pearls,1991-10-01,13,N
G Herbo,Humble Beast,2017-09-22,26,Y
James Brown,Hell,1974-06-28,14,N
Rick James,Street Songs,1981-04-07,10,N
Migos,Culture,2017-01-27,13,N
Migos,Culture II,2018-01-25,24,N
Migos,Culture III,2021-06-11,24,Y
D'Angelo,Voodoo,2000-01-01,13,N
D'Angelo|The Vanguard,Black Messiah,2014-12-15,12,N
D'Angelo,Brown Sugar,1995-07-03,10,N
Nas,Illmatic,1994-04-19,10,N
Pi'erre Borune,Life of Pi'erre 4,2020-06-19,31,Y
Pi'erre Borune,Life of Pi'erre 5,2021-06-11,16,N
Dave East,P2,2018-01-16,15,N
Dave East,Karma 3,2020-08-14,23,Y
Drake,Take Care,2011-11-15,20,Y